p_true,J,rep,obs,MOM,MLE,ABC-MCMC,ABC-MCMC_cilen,ABC-MCMC_ci_lo,ABC-MCMC_ci_hi,ABC-MCMC_acc,GPS-ABC,GPS-ABC_cilen,GPS-ABC_ci_lo,GPS-ABC_ci_hi,GPS-ABC_acc,DNN-ABC,DNN-ABC_cilen,DNN-ABC_ci_lo,DNN-ABC_ci_hi,DNN-ABC_acc
0.0001,10,18,0.02450052426240077,9.692083938095397e-05,0.0001025443102647373,0.00011671734765955738,0.0002658165891363339,3.1731940221359514e-05,0.0002975485293576934,0.6894824707846411,0.00011764356658583081,0.000273875384459738,1.9425698990019773e-05,0.0002933010834497578,0.8731218697829716,8.681496419451083e-05,0.0002694806414585747,1.422858783085177e-05,0.00028370922928942647,0.9048414023372288
0.0001,10,24,0.052265177875519,0.000507461013473709,0.0005366236441578018,0.00045339498125279487,0.0016561993186156947,1.3541530765345079e-05,0.0016697408493810397,0.6093489148580968,0.00047817277261804687,0.00229148763147628,3.841697265192274e-05,0.002329904604128203,0.8614357262103506,0.0004550786776018778,0.0012570426870699579,5.929469251207829e-05,0.0013163373795820363,0.8580968280467446
0.0001,10,2,0.03194735900646324,7.348118334987719e-05,7.771669844379511e-05,0.00014281528923332609,0.0003476457802757763,4.0420912119511664e-05,0.0003880666923952879,0.6060100166944908,0.00021064773064526012,0.0005810779058696588,3.909683541906003e-05,0.0006201747412887189,0.8681135225375626,0.00015402129923408375,0.00041953817824300744,2.0118280568703442e-05,0.00043965645881171087,0.8747913188647746
0.0001,10,17,0.02284989943610511,9.672919793679569e-05,0.00010214567658572837,8.120049570725672e-05,0.00022223868916940447,2.2290431686749327e-05,0.0002445291208561538,0.6193656093489148,0.00010585712615014526,0.00025060903535182997,2.779130049820822e-05,0.0002784003358500382,0.8464106844741235,9.954191590342125e-05,0.00033048952837929745,1.107008962732302e-05,0.00034155961800662045,0.8864774624373957
0.0001,10,26,0.02444065444498824,5.7022360777814196e-05,6.0078637028297784e-05,0.00012077596335934482,0.0003285388746039808,2.3343734256222924e-05,0.0003518826088602037,0.6243739565943238,0.00011363374175620365,0.00033494008145508404,2.031881837839933e-05,0.0003552588998334834,0.8697829716193656,0.00010833545444517679,0.0002656170498944326,2.165317153616917e-05,0.0002872702214306018,0.8898163606010017
0.0001,10,7,0.027907542566707515,5.257204130304505e-05,5.551189337222373e-05,0.00011710094174009845,0.00035915727237524376,1.3848713808298622e-05,0.00037300598618354236,0.6243739565943238,0.00019847682747467824,0.000688344917906101,4.379576093713805e-05,0.000732140678843239,0.8647746243739566,9.389359803105929e-05,0.0002759058053476858,1.4752876524010085e-05,0.0002906586818716959,0.8697829716193656
0.0001,10,21,0.02522560863076554,9.461149054629248e-05,9.983613938154488e-05,0.00011980880201460705,0.00024624941073052455,2.5136188978564298e-05,0.00027138559970908883,0.5909849749582637,9.014483837681525e-05,0.00022767368118293687,1.6907153769196062e-05,0.0002445808349521329,0.8497495826377296,0.00011024200098725882,0.00029567525841240716,1.666337707817556e-05,0.00031233863549058274,0.8797996661101837
0.0001,10,11,0.013899336330066852,1.912556043531799e-05,2.018278639295342e-05,3.447898390642513e-05,7.992422339072004e-05,1.0254082461015794e-05,9.017830585173584e-05,0.664440734557596,4.4083764241982766e-05,0.0001392816237768705,1.1285981154688448e-05,0.00015056760493155897,0.9265442404006677,4.3488509192558467e-05,0.00010767103702285946,1.0732031087593174e-05,0.00011840306811045263,0.9265442404006677
0.0001,10,4,0.025268342405736433,8.422320595130595e-05,8.871558947072247e-05,0.00012495472432632853,0.0005250351570583163,1.1607890921776953e-05,0.0005366430479800933,0.5993322203672788,0.0001031431560788798,0.00025769951510702904,1.670459812169279e-05,0.0002744041132287218,0.8831385642737897,9.542440217976345e-05,0.0002507762391841059,1.2420947294176169e-05,0.0002631971864782821,0.8981636060100167
0.0001,10,19,0.025520898029690008,7.34300707828095e-05,7.765563331109808e-05,6.034980770125515e-05,0.00016526182870611527,1.2291777576680697e-05,0.00017755360628279597,0.6160267111853088,0.00019749109817227264,0.0010675667272973472,2.765046362207356e-05,0.0010952171909194208,0.8881469115191987,0.000147645202354509,0.00047814456218664566,2.3370710354096595e-05,0.0005015152725407423,0.8547579298831386
0.0001,10,22,0.01931238892080578,3.826371144444174e-05,4.048951059876447e-05,8.358739818301778e-05,0.00022273710981192402,1.9001560199258272e-05,0.0002417386700111823,0.669449081803005,0.00012386854195842078,0.00038349622523458363,1.870267107725122e-05,0.00040219889631183485,0.8664440734557596,9.651397470132471e-05,0.00025809497482273203,1.2098415306224081e-05,0.0002701933901289561,0.8931552587646077
0.0001,10,5,0.019211518417617462,4.177170082220183e-05,4.42603572809011e-05,9.868080003485439e-05,0.00026341374779501563,2.0261753633767088e-05,0.0002836755014287827,0.6494156928213689,6.765975509081401e-05,0.00025704664736059826,1.1259912737948902e-05,0.0002683065600985472,0.8898163606010017,7.011527349273176e-05,0.00024015208206859876,1.8043642281366896e-05,0.00025819572434996566,0.9098497495826378
0.0001,10,28,0.02344129373711389,0.00022337039525266444,0.00023707147629096725,0.0001902434154455151,0.0008072147235286576,3.087894415576946e-05,0.000838093667684427,0.6310517529215359,0.00011677322876558086,0.0003681457566018316,2.7241459045258056e-05,0.0003953872156470897,0.8931552587646077,9.404068816776542e-05,0.00027305998843432064,1.8878996195000583e-05,0.0002919389846293212,0.9031719532554258
0.0001,10,16,0.023248630922683207,3.948664798048007e-05,4.160888486346096e-05,5.344428052027101e-05,0.00017262279045426356,1.0171260833685472e-05,0.00018279405128794902,0.5559265442404007,8.538257049420029e-05,0.000351749442806568,1.1678536563132523e-05,0.0003634279793697005,0.8781302170283807,9.586964924773741e-05,0.0003197425219652729,1.3333193602306762e-05,0.00033307571556757964,0.8764607679465777
0.0001,10,8,0.01730531805146379,3.179783894019517e-05,3.357502686869106e-05,4.9940000643261025e-05,0.00012227636223831385,1.1092840539562106e-05,0.00013336920277787597,0.6844741235392321,5.801064124267703e-05,0.00016913498873601213,1.381174397071962e-05,0.00018294673270673176,0.8848080133555927,5.8497432705878445e-05,0.00015983476384301383,1.0877232425531923e-05,0.00017071199626854576,0.9165275459098498
0.0001,10,23,0.015091155655203747,3.709180609762219e-05,3.9257502520718424e-05,8.59319427284372e-05,0.0003728106025313496,1.1957443617199833e-05,0.0003847680461485494,0.6811352253756261,3.938838025689047e-05,9.500637933618908e-05,1.1055818749391227e-05,0.0001060621980855803,0.9232053422370617,4.392137915894309e-05,0.00010499761547707242,1.1568956976134416e-05,0.00011656657245320683,0.9482470784641068
0.0001,10,10,0.014656853281240067,3.681530154925339e-05,3.8887682865271336e-05,4.477199312340256e-05,0.00011821671119814938,1.1012730615609656e-05,0.00012922944181375905,0.6844741235392321,4.3168838351805475e-05,0.00014343563122280802,1.1448911441692798e-05,0.0001548845426645008,0.9115191986644408,3.766211071899902e-05,0.00012156543952489813,1.0347921709739529e-05,0.00013191336123463766,0.9365609348914858
0.0001,10,9,0.011757759547643099,3.038950738681878e-05,3.2158163456422184e-05,3.736629202727296e-05,8.398423814933643e-05,1.1461481108767958e-05,9.544571925810439e-05,0.7278797996661102,3.2418564770570446e-05,9.660667565312575e-05,1.0929555787950796e-05,0.00010753623144107654,0.8981636060100167,2.980351699471939e-05,6.886881693511146e-05,1.0428328942377085e-05,7.929714587748854e-05,0.8848080133555927
0.0001,10,25,0.014808072995308846,2.979788180695886e-05,3.145242924914536e-05,4.352752624686013e-05,0.0001167858349027669,1.0959574934933003e-05,0.0001277454098376999,0.6844741235392321,4.487395738281105e-05,9.745072134448313e-05,1.1932763336227405e-05,0.00010938348468071053,0.8964941569282137,5.536400112814247e-05,0.0002054648483598519,1.069941627960798e-05,0.00021616426463945987,0.9048414023372288
0.0001,10,13,0.016325341853773438,2.6470171218595517e-05,2.796268599566523e-05,4.3074151537324316e-05,0.0001157301049722684,1.1038969778788305e-05,0.0001267690747510567,0.6393989983305509,4.8581047079383585e-05,0.00013444452519338734,1.1921656768667478e-05,0.0001463661819620548,0.9148580968280468,4.876584035644919e-05,0.00012610734854263448,1.0995142200993838e-05,0.00013710249074362833,0.9298831385642737
0.0001,10,12,0.014515254476534784,3.264387942930602e-05,3.4538658819860876e-05,3.6100897507531304e-05,0.00011235872428238886,1.0534662023734646e-05,0.00012289338630612351,0.679465776293823,4.754431886808113e-05,0.0001498568830292227,1.0801662042901536e-05,0.00016065854507212426,0.9098497495826378,5.546158686228597e-05,0.00012692107064173888,1.3062209178402933e-05,0.00013998327982014182,0.9298831385642737
0.0001,10,3,0.01298430408190685,3.7683256651932506e-05,3.993696539150006e-05,3.099357938091053e-05,6.591316851589803e-05,1.0852183986292515e-05,7.676535250219055e-05,0.654424040066778,2.9687609932125865e-05,7.557714436851877e-05,1.0331428907493917e-05,8.590857327601268e-05,0.9549248747913188,2.6174001423817912e-05,5.0352490056415236e-05,1.0395825796796387e-05,6.074831585321162e-05,0.9115191986644408
0.0001,10,6,0.02867920078709494,6.947134373147534e-05,7.369164145541835e-05,7.6276830437319e-05,0.0003770504618530917,1.0580618801122106e-05,0.0003876310806542138,0.42237061769616024,9.42471928620731e-05,0.00032824566451489397,1.7533681897623968e-05,0.0003457793464125179,0.8547579298831386,0.00013355148748313552,0.00038424474675934886,1.4785103619248901e-05,0.00039902985037859774,0.8931552587646077
0.0001,10,27,0.011698118955202832,1.3788845872608757e-05,1.4614522206490426e-05,3.5349123837660324e-05,8.182874172796273e-05,1.0571861148214882e-05,9.240060287617762e-05,0.671118530884808,2.5679206270625068e-05,7.294429619707156e-05,1.0367117718717521e-05,8.331141391578908e-05,0.9065108514190318,3.00843081872483e-05,0.00010201531174192121,1.0307419481296753e-05,0.00011232273122321796,0.8931552587646077
0.0001,10,14,0.010057648208342325,2.1929876625914613e-05,2.3260068812723634e-05,2.765804282100404e-05,5.842534653711361e-05,1.0751405987111345e-05,6.917675252422496e-05,0.7095158597662772,2.631211507886346e-05,8.079365950664114e-05,1.0706762327557241e-05,9.150042183419838e-05,0.8647746243739566,3.5549087841423996e-05,9.67872875641475e-05,1.0428302305764645e-05,0.00010721558986991215,0.8414023372287145
