p1,p2,tau,J,method,param,rmse_log,nrmse,ci_len,coverage,secs,acc
0.0001,0.01,3.0,100,GPS-ABC,p1,1.9387492283729184,94.30149350747055,0.0368971993567038,0.9375,2.79769629240036,0.3676850616872291
0.0001,0.01,3.0,100,GPS-ABC,p2,0.1912367229311908,0.2903549389130225,0.0354363445859151,1.0,2.79769629240036,0.3676850616872291
0.0001,0.01,3.0,100,GPS-ABC,tau,2.710569494796942,0.903523164932314,8.940294261505711,1.0,2.79769629240036,0.3676850616872291
0.0001,0.01,3.0,100,DNN-ABC,p1,1.9192691984178931,106.65514731547952,0.0365366514250543,0.75,1.8054640889167783,0.1247499166388796
0.0001,0.01,3.0,100,DNN-ABC,p2,0.4425747772917808,0.4923779387216495,0.0271774858913104,0.875,1.8054640889167783,0.1247499166388796
0.0001,0.01,3.0,100,DNN-ABC,tau,2.8834161382337893,0.9611387127445964,8.16358474760358,0.8125,1.8054640889167783,0.1247499166388796
0.0001,0.01,3.0,100,MOM,p_eff,0.0127795129727753,0.0291399125261182,,,,
0.0001,0.01,3.0,100,MLE,p_eff,0.0235337551611292,0.056172600564705,,,,
0.0001,0.01,7.0,100,GPS-ABC,p1,1.705783862132784,56.63313675517277,0.0297633145369386,1.0,1.908027336001396,0.3333819606535512
0.0001,0.01,7.0,100,GPS-ABC,p2,0.3206996186580971,0.4916156714251578,0.0229372007155601,1.0,1.908027336001396,0.3333819606535512
0.0001,0.01,7.0,100,GPS-ABC,tau,1.673910096200818,0.239130013742974,9.149627176556448,1.0,1.908027336001396,0.3333819606535512
0.0001,0.01,7.0,100,DNN-ABC,p1,1.6681391429851635,62.360918476344295,0.0280729399394227,0.9375,2.0558705925941467,0.1457777592530843
0.0001,0.01,7.0,100,DNN-ABC,p2,0.4711615176167914,0.5474455580210753,0.0177258307216231,0.5625,2.0558705925941467,0.1457777592530843
0.0001,0.01,7.0,100,DNN-ABC,tau,1.7199377628148789,0.2457053946878398,8.7540816597264,1.0,2.0558705925941467,0.1457777592530843
0.0001,0.01,7.0,100,MOM,p_eff,0.0061936463954688,0.0141166993051827,,,,
0.0001,0.01,7.0,100,MLE,p_eff,0.0181801875398778,0.0428217280857035,,,,
0.002,0.008,5.0,100,GPS-ABC,p1,0.5244263182302994,2.5555994329990175,0.034234580435132,1.0,2.012859627604485,0.3539304768256085
0.002,0.008,5.0,100,GPS-ABC,p2,0.1085708429586408,0.2773446226466706,0.0313633961837925,1.0,2.012859627604485,0.3539304768256085
0.002,0.008,5.0,100,GPS-ABC,tau,0.60165173022636,0.120330346045272,9.12007650928885,1.0,2.012859627604485,0.3539304768256085
0.002,0.008,5.0,100,DNN-ABC,p1,0.4773079891493105,2.49817867736267,0.0309423988880446,1.0,1.943384274840355,0.1263337779259753
0.002,0.008,5.0,100,DNN-ABC,p2,0.2588216779918144,0.4968168457088085,0.0302350051079585,0.9375,1.943384274840355,0.1263337779259753
