p1,p2,tau,J,method,param,n,rmse_log,rmse_log_mcse,coverage,coverage_mcse
0.0001,0.01,3.0,100,GPS-ABC,p1,16,1.938749228372915,0.03605294970680439,0.9375,0.06051536478449089
0.0001,0.01,3.0,100,GPS-ABC,p2,16,0.19123672293119215,0.06740283909505546,1.0,0.0
0.0001,0.01,3.0,100,GPS-ABC,tau,16,2.710569494796942,0.1392060082172001,1.0,0.0
0.0001,0.01,3.0,100,DNN-ABC,p1,16,1.9192691984178902,0.07038839387747063,0.75,0.10825317547305482
0.0001,0.01,3.0,100,DNN-ABC,p2,16,0.4425747772917933,0.11901547637476896,0.875,0.08267972847076846
0.0001,0.01,3.0,100,DNN-ABC,tau,16,2.8834161382337893,0.24043474745377139,0.8125,0.09757809372497497
0.0001,0.01,3.0,100,CNN1D-ABC,p1,16,1.9408908990214657,0.07262189975633176,0.625,0.12103072956898178
0.0001,0.01,3.0,100,CNN1D-ABC,p2,16,0.6380666976156664,0.1454177620821184,0.75,0.10825317547305482
0.0001,0.01,3.0,100,CNN1D-ABC,tau,16,3.0613015898570564,0.22835814622045406,0.8125,0.09757809372497497
0.0001,0.01,3.0,100,RNN-ABC,p1,16,1.9186743242771869,0.06180012436071396,0.875,0.08267972847076846
0.0001,0.01,3.0,100,RNN-ABC,p2,16,0.39050914654854446,0.11415910863039669,0.875,0.08267972847076846
0.0001,0.01,3.0,100,RNN-ABC,tau,16,2.5242583225054567,0.20253089211175973,0.9375,0.06051536478449089
0.0001,0.01,3.0,100,LSTM-ABC,p1,16,1.8711517982582808,0.06889577875569987,0.875,0.08267972847076846
0.0001,0.01,3.0,100,LSTM-ABC,p2,16,0.3553557670798248,0.10750364502150957,0.9375,0.06051536478449089
0.0001,0.01,3.0,100,LSTM-ABC,tau,16,2.4424392975618137,0.21180654395211307,1.0,0.0
0.0001,0.01,7.0,100,GPS-ABC,p1,16,1.7057838621327783,0.04534758420066303,1.0,0.0
0.0001,0.01,7.0,100,GPS-ABC,p2,16,0.3206996186581025,0.03533076768003409,1.0,0.0
0.0001,0.01,7.0,100,GPS-ABC,tau,16,1.673910096200818,0.15174582129834396,1.0,0.0
0.0001,0.01,7.0,100,DNN-ABC,p1,16,1.6681391429851578,0.07050431435565464,0.9375,0.06051536478449089
0.0001,0.01,7.0,100,DNN-ABC,p2,16,0.4711615176168008,0.08443012722377223,0.5625,0.12401959270615269
0.0001,0.01,7.0,100,DNN-ABC,tau,16,1.7199377628148789,0.14973163106458634,1.0,0.0
0.0001,0.01,7.0,100,CNN1D-ABC,p1,16,1.7241567122479848,0.0502705372996266,0.75,0.10825317547305482
0.0001,0.01,7.0,100,CNN1D-ABC,p2,16,0.4370107371335307,0.0747666550815376,0.6875,0.11587810136086973
0.0001,0.01,7.0,100,CNN1D-ABC,tau,16,1.8299259006655253,0.16842852268692485,1.0,0.0
0.0001,0.01,7.0,100,RNN-ABC,p1,16,1.7143568946919143,0.05301121021676616,0.9375,0.06051536478449089
0.0001,0.01,7.0,100,RNN-ABC,p2,16,0.5189721909734034,0.12744072199801174,0.75,0.10825317547305482
0.0001,0.01,7.0,100,RNN-ABC,tau,16,1.290788838885009,0.14789529779009591,1.0,0.0
0.0001,0.01,7.0,100,LSTM-ABC,p1,16,1.7356778013066543,0.05424331674658742,0.875,0.08267972847076846
0.0001,0.01,7.0,100,LSTM-ABC,p2,16,0.31999676731271026,0.04334998902611462,0.9375,0.06051536478449089
0.0001,0.01,7.0,100,LSTM-ABC,tau,16,1.6384193277630277,0.17509627684893497,1.0,0.0
0.002,0.008,5.0,100,GPS-ABC,p1,16,0.5244263182302961,0.03175071541146956,1.0,0.0
0.002,0.008,5.0,100,GPS-ABC,p2,16,0.10857084295864149,0.017165806462196776,1.0,0.0
0.002,0.008,5.0,100,GPS-ABC,tau,16,0.60165173022636,0.07427131409995927,1.0,0.0
0.002,0.008,5.0,100,DNN-ABC,p1,16,0.47730798914930817,0.050310527299572284,1.0,0.0
0.002,0.008,5.0,100,DNN-ABC,p2,16,0.2588216779918184,0.08540810786739866,0.9375,0.06051536478449089
0.002,0.008,5.0,100,DNN-ABC,tau,16,1.0983399141088184,0.14726108517862796,1.0,0.0
0.002,0.008,5.0,100,CNN1D-ABC,p1,16,0.6497451677869776,0.04859566947882951,0.875,0.08267972847076846
0.002,0.008,5.0,100,CNN1D-ABC,p2,16,0.570705495186998,0.19635367170432577,0.875,0.08267972847076846
0.002,0.008,5.0,100,CNN1D-ABC,tau,16,0.9507403688529505,0.14551788122566345,1.0,0.0
0.002,0.008,5.0,100,RNN-ABC,p1,16,0.6194654935181769,0.04526483013053208,1.0,0.0
0.002,0.008,5.0,100,RNN-ABC,p2,16,0.2924772103564832,0.06293552943436705,1.0,0.0
0.002,0.008,5.0,100,RNN-ABC,tau,16,0.8281351784804497,0.10773629546326324,1.0,0.0
0.002,0.008,5.0,100,LSTM-ABC,p1,16,0.5834999217974864,0.040511988658025175,1.0,0.0
0.002,0.008,5.0,100,LSTM-ABC,p2,16,0.1698225079956053,0.028570101236788454,1.0,0.0
0.002,0.008,5.0,100,LSTM-ABC,tau,16,0.7985735390414058,0.1756441075409353,1.0,0.0
