p,a,delta,J,ABC-MCMC,GPS-ABC,DNN-ABC
0.001,1.0,1.0,100,117.42421984672546,0.12513279914855957,0.16070544719696045
0.001,1.5,1.5,100,128.86675477027893,0.12391030788421631,0.15737831592559814
0.001,1.0,0.5,100,127.49733805656433,0.12372195720672606,0.1572263240814209
0.01,1.0,1.0,100,72.88341164588928,0.12414216995239256,0.15687346458435059
0.01,1.5,1.5,100,81.45545482635498,0.1237022876739502,0.15710830688476562
0.01,1.0,0.5,100,76.56691908836365,0.12329161167144777,0.15706181526184082
