model,budget,surface_mse,fit_s,query_us
GP,50,0.006430374830832943,0.9548015594482422,1.8647511800130208
GP,100,0.0026879632067767466,0.1450507640838623,3.1862258911132812
GP,200,0.002010985020035049,1.0125913619995117,7.137616475423177
GP,300,0.001756368316920792,1.2852308750152588,12.266000111897787
GP,500,0.001752628305312656,4.067278623580933,26.81843439737956
GP,1000,0.0016262714746305075,23.109870433807373,89.22179539998372
GP,1000,0.0016262714746305075,23.181124925613403,88.83873621622722
DNN,5000,0.0014623968595215326,,17.910162607828777
