p1,p2,tau,J,method,param,rmse_log,nrmse,ci_len,coverage,secs,acc
0.0001,0.01,3.0,100,GPS-ABC,p1,1.846442599637498,75.43819192026596,0.0354494525233103,1.0,2.4392236471176147,0.3962570856952317
0.0001,0.01,3.0,100,GPS-ABC,p2,0.0825295736227669,0.2119578794001981,0.0359628756619217,1.0,2.4392236471176147,0.3962570856952317
0.0001,0.01,3.0,100,GPS-ABC,tau,2.2591478228346245,0.7530492742782081,9.101955718907828,1.0,2.4392236471176147,0.3962570856952317
0.0001,0.01,3.0,100,GPS-ABC-ref,p1,1.8519998716666968,71.35651962206124,0.0375254338326727,1.0,1.7108328938484192,0.7613371123707903
0.0001,0.01,3.0,100,GPS-ABC-ref,p2,0.1558434343638839,0.2732023033007389,0.0363785729933811,1.0,1.7108328938484192,0.7613371123707903
0.0001,0.01,3.0,100,GPS-ABC-ref,tau,3.0817572755056464,1.0272524251685489,8.953423323784014,1.0,1.7108328938484192,0.7613371123707903
0.0001,0.01,3.0,100,DNN-ABC,p1,1.8646987991005963,86.59361284849244,0.0367743950904369,1.0,1.569709628820419,0.143297765921974
0.0001,0.01,3.0,100,DNN-ABC,p2,0.1321851465173519,0.3395440817234393,0.0368155285514871,1.0,1.569709628820419,0.143297765921974
0.0001,0.01,3.0,100,DNN-ABC,tau,2.5500276194752893,0.8500092064917631,8.917642533843996,1.0,1.569709628820419,0.143297765921974
0.0001,0.01,7.0,100,GPS-ABC,p1,1.8381728917575375,71.89731607878078,0.0343946127718708,1.0,1.7250898033380508,0.3385086695565188
0.0001,0.01,7.0,100,GPS-ABC,p2,0.2470083420860784,0.4130535885680897,0.0290725541433392,1.0,1.7250898033380508,0.3385086695565188
0.0001,0.01,7.0,100,GPS-ABC,tau,1.3046970086266678,0.1863852869466668,9.117299304300229,1.0,1.7250898033380508,0.3385086695565188
0.0001,0.01,7.0,100,GPS-ABC-ref,p1,1.6534193533192605,45.03822000841809,0.0318595545340738,1.0,1.755099430680275,0.8447190730243415
0.0001,0.01,7.0,100,GPS-ABC-ref,p2,0.3994531451571272,0.58258703521169,0.0243564027750905,1.0,1.755099430680275,0.8447190730243415
0.0001,0.01,7.0,100,GPS-ABC-ref,tau,1.2432893192166143,0.1776127598880877,9.107684118547937,1.0,1.755099430680275,0.8447190730243415
0.0001,0.01,7.0,100,DNN-ABC,p1,1.7891171923898066,73.21058379242376,0.032508368546315,0.875,1.614066258072853,0.1430685228409469
0.0001,0.01,7.0,100,DNN-ABC,p2,0.2694933491310134,0.4316300075519692,0.0262905194111007,1.0,1.614066258072853,0.1430685228409469
0.0001,0.01,7.0,100,DNN-ABC,tau,1.5967807016090687,0.2281115288012955,8.581210965640242,1.0,1.614066258072853,0.1430685228409469
0.002,0.008,5.0,100,GPS-ABC,p1,0.4895803839500702,2.400496441119883,0.0338252066787415,1.0,1.7818163633346558,0.3793972990996999
0.002,0.008,5.0,100,GPS-ABC,p2,0.1378723209012507,0.2855570349081303,0.031451827765498,1.0,1.7818163633346558,0.3793972990996999
0.002,0.008,5.0,100,GPS-ABC,tau,0.7014626863776751,0.140292537275535,9.001498612790568,1.0,1.7818163633346558,0.3793972990996999
0.002,0.008,5.0,100,GPS-ABC-ref,p1,0.4219981304133708,1.6998957060989015,0.0347976126975344,1.0,1.792545646429062,0.8228992997665888
0.002,0.008,5.0,100,GPS-ABC-ref,p2,0.1665410183990361,0.3047261765056383,0.0309081791065846,1.0,1.792545646429062,0.8228992997665888
0.002,0.008,5.0,100,GPS-ABC-ref,tau,1.0712422671218065,0.2142484534243612,8.978782937996687,1.0,1.792545646429062,0.8228992997665888
0.002,0.008,5.0,100,DNN-ABC,p1,0.5679506072433778,3.3448425419632306,0.033618100033462,0.9375,1.574924811720848,0.1430476825608536
0.002,0.008,5.0,100,DNN-ABC,p2,0.3724065043248336,0.4267644326941528,0.028977568800058,0.9375,1.574924811720848,0.1430476825608536
0.002,0.008,5.0,100,DNN-ABC,tau,1.112130411848449,0.2224260823696898,8.420796884680843,1.0,1.574924811720848,0.1430476825608536
0.0001,0.01,3.0,100,CNN1D-ABC,p1,1.7948711779661148,79.93343771799265,0.03221927743822968,0.9375,1.6488207876682281,0.14381877292430809
0.0001,0.01,3.0,100,CNN1D-ABC,p2,0.20189907798607235,0.37516671438193655,0.030066588098312308,1.0,1.6488207876682281,0.14381877292430809
0.0001,0.01,3.0,100,CNN1D-ABC,tau,2.2481712301287997,0.7493904100429333,8.77203927221689,1.0,1.6488207876682281,0.14381877292430809
0.0001,0.01,3.0,100,LSTM-ABC,p1,1.7761232914083638,73.1494567048135,0.03189811702364456,0.9375,1.7281364500522614,0.14367289096365454
0.0001,0.01,3.0,100,LSTM-ABC,p2,0.113812627438034,0.2991365277576572,0.03487857112899297,1.0,1.7281364500522614,0.14367289096365454
0.0001,0.01,3.0,100,LSTM-ABC,tau,2.422729584447939,0.8075765281493129,8.78820621824318,1.0,1.7281364500522614,0.14367289096365454
0.0001,0.01,3.0,100,RNN-ABC,p1,1.8560975850058232,81.23524058482954,0.03643039082802683,0.9375,1.7243734002113342,0.1435895298432811
0.0001,0.01,3.0,100,RNN-ABC,p2,0.12682185407574706,0.3405377567111382,0.033254614129194754,1.0,1.7243734002113342,0.1435895298432811
0.0001,0.01,3.0,100,RNN-ABC,tau,2.4710278374909653,0.8236759458303218,8.825518775187268,1.0,1.7243734002113342,0.1435895298432811
0.0001,0.01,7.0,100,CNN1D-ABC,p1,1.714749916196559,63.21240859937134,0.030505423865012343,0.9375,1.6457532048225403,0.1489871623874625
0.0001,0.01,7.0,100,CNN1D-ABC,p2,0.24021992898492323,0.43845995773464636,0.024807012188473355,0.9375,1.6457532048225403,0.1489871623874625
0.0001,0.01,7.0,100,CNN1D-ABC,tau,1.6498854888022179,0.2356979269717454,8.735694972294421,1.0,1.6457532048225403,0.1489871623874625
0.0001,0.01,7.0,100,LSTM-ABC,p1,1.8307780083959528,73.36277396603698,0.036641266274743865,1.0,1.724062368273735,0.14954984994998333
0.0001,0.01,7.0,100,LSTM-ABC,p2,0.3261560092705662,0.4526304246944509,0.024442172512161728,0.875,1.724062368273735,0.14954984994998333
0.0001,0.01,7.0,100,LSTM-ABC,tau,1.5203256380748726,0.21718937686783896,8.994310321107779,1.0,1.724062368273735,0.14954984994998333
0.0001,0.01,7.0,100,RNN-ABC,p1,1.7713996825044336,75.10690890839204,0.03079142748059656,0.8125,1.7281366288661957,0.1437145715238413
0.0001,0.01,7.0,100,RNN-ABC,p2,0.6380829450662743,0.5471430929495755,0.019236654940797803,0.8125,1.7281366288661957,0.1437145715238413
0.0001,0.01,7.0,100,RNN-ABC,tau,1.566278733195003,0.22375410474214327,8.55666490032235,1.0,1.7281366288661957,0.1437145715238413
0.002,0.008,5.0,100,CNN1D-ABC,p1,0.6092387273212986,3.477545885063698,0.03635617039073133,1.0,1.6326265782117844,0.1462779259753251
0.002,0.008,5.0,100,CNN1D-ABC,p2,0.16725367826050996,0.26917654900970195,0.02803557863466007,1.0,1.6326265782117844,0.1462779259753251
0.002,0.008,5.0,100,CNN1D-ABC,tau,1.1664300038582693,0.23328600077165387,8.444993984458293,1.0,1.6326265782117844,0.1462779259753251
0.002,0.008,5.0,100,LSTM-ABC,p1,0.5612205946071469,3.13655877254581,0.03627041475762849,1.0,1.6922943443059921,0.14477742580860287
0.002,0.008,5.0,100,LSTM-ABC,p2,0.18704282570003158,0.3973987613207911,0.02837279842489692,1.0,1.6922943443059921,0.14477742580860287
0.002,0.008,5.0,100,LSTM-ABC,tau,0.950077956163195,0.190015591232639,8.677669934143676,1.0,1.6922943443059921,0.14477742580860287
0.002,0.008,5.0,100,RNN-ABC,p1,0.5053447868917302,2.6858727482109863,0.032824781016032756,1.0,1.7196349054574966,0.14160970323441147
0.002,0.008,5.0,100,RNN-ABC,p2,0.1713660779778079,0.45235010920248075,0.026256271018753045,1.0,1.7196349054574966,0.14160970323441147
0.002,0.008,5.0,100,RNN-ABC,tau,1.0623294565952661,0.21246589131905322,8.66666233679772,1.0,1.7196349054574966,0.14160970323441147
