p1,p2,tau,J,method,param,rmse_log,nrmse,ci_len,coverage,secs,acc
0.0001,0.01,3.0,100,GPS-ABC,p1,1.8464425996374945,75.43819192026541,0.03544945252331029,1.0,3.828481137752533,0.3962570856952317
0.0001,0.01,3.0,100,GPS-ABC,p2,0.08252957362276594,0.21195787940019437,0.035962875661921745,1.0,3.828481137752533,0.3962570856952317
0.0001,0.01,3.0,100,GPS-ABC,tau,2.2591478228346245,0.7530492742782081,9.101955718907828,1.0,3.828481137752533,0.3962570856952317
0.0001,0.01,3.0,100,GPS-ABC-ref,p1,1.8519998716666937,71.35651962206077,0.03752543383267269,1.0,1.895721822977066,0.7613371123707903
0.0001,0.01,3.0,100,GPS-ABC-ref,p2,0.15584343436388762,0.2732023033007426,0.0363785729933811,1.0,1.895721822977066,0.7613371123707903
0.0001,0.01,3.0,100,GPS-ABC-ref,tau,3.081757275505647,1.0272524251685489,8.953423323784014,1.0,1.895721822977066,0.7613371123707903
0.0001,0.01,3.0,100,DNN-ABC,p1,1.864698799100592,86.5936128484919,0.03677439509043686,1.0,1.7254849523305893,0.14329776592197396
0.0001,0.01,3.0,100,DNN-ABC,p2,0.13218514651735228,0.3395440817234381,0.03681552855148711,1.0,1.7254849523305893,0.14329776592197396
0.0001,0.01,3.0,100,DNN-ABC,tau,2.5500276194752893,0.8500092064917631,8.917642533843996,1.0,1.7254849523305893,0.14329776592197396
0.0001,0.01,3.0,100,NPE,p1,1.8695259391343093,73.14475647772477,0.03340794293135614,1.0,0.0025820285081863403,1.0
0.0001,0.01,3.0,100,NPE,p2,0.021295344110593712,0.04711661865154279,0.03330421670281394,1.0,0.0025820285081863403,1.0
0.0001,0.01,3.0,100,NPE,tau,2.322515745894493,0.7741719152981643,8.728455031756312,1.0,0.0025820285081863403,1.0
0.0001,0.01,7.0,100,GPS-ABC,p1,1.8381728917575346,71.89731607878032,0.03439461277187082,1.0,1.8485315591096878,0.3385086695565188
0.0001,0.01,7.0,100,GPS-ABC,p2,0.24700834208608313,0.41305358856809543,0.029072554143339216,1.0,1.8485315591096878,0.3385086695565188
0.0001,0.01,7.0,100,GPS-ABC,tau,1.3046970086266678,0.18638528694666684,9.117299304300229,1.0,1.8485315591096878,0.3385086695565188
0.0001,0.01,7.0,100,GPS-ABC-ref,p1,1.6534193533192554,45.03822000841759,0.031859554534073756,1.0,1.8397600650787354,0.8447190730243415
0.0001,0.01,7.0,100,GPS-ABC-ref,p2,0.3994531451571329,0.5825870352116949,0.024356402775090477,1.0,1.8397600650787354,0.8447190730243415
0.0001,0.01,7.0,100,GPS-ABC-ref,tau,1.2432893192166143,0.17761275988808775,9.107684118547937,1.0,1.8397600650787354,0.8447190730243415
0.0001,0.01,7.0,100,DNN-ABC,p1,1.7891171923898028,73.21058379242336,0.032508368546315,0.875,1.6616942286491394,0.14306852284094695
0.0001,0.01,7.0,100,DNN-ABC,p2,0.2694933491310188,0.43163000755197384,0.026290519411100707,1.0,1.6616942286491394,0.14306852284094695
0.0001,0.01,7.0,100,DNN-ABC,tau,1.5967807016090687,0.22811152880129554,8.581210965640242,1.0,1.6616942286491394,0.14306852284094695
0.0001,0.01,7.0,100,NPE,p1,1.7533853129881554,55.76026964709229,0.029183212437294492,1.0,0.0014909356832504272,1.0
0.0001,0.01,7.0,100,NPE,p2,0.21976001064834436,0.39683427930471327,0.024238332036239263,1.0,0.0014909356832504272,1.0
0.0001,0.01,7.0,100,NPE,tau,1.5151720312915613,0.2164531473273659,8.808007677737622,1.0,0.0014909356832504272,1.0
0.002,0.008,5.0,100,GPS-ABC,p1,0.4895803839500661,2.400496441119858,0.033825206678741546,1.0,1.8305968940258026,0.3793972990996999
0.002,0.008,5.0,100,GPS-ABC,p2,0.13787232090125137,0.28555703490812917,0.031451827765497944,1.0,1.8305968940258026,0.3793972990996999
0.002,0.008,5.0,100,GPS-ABC,tau,0.7014626863776751,0.140292537275535,9.001498612790568,1.0,1.8305968940258026,0.3793972990996999
0.002,0.008,5.0,100,GPS-ABC-ref,p1,0.4219981304133674,1.699895706098878,0.034797612697534425,1.0,1.842594489455223,0.8228992997665888
0.002,0.008,5.0,100,GPS-ABC-ref,p2,0.16654101839904023,0.3047261765056435,0.03090817910658456,1.0,1.842594489455223,0.8228992997665888
0.002,0.008,5.0,100,GPS-ABC-ref,tau,1.0712422671218063,0.21424845342436125,8.978782937996689,1.0,1.842594489455223,0.8228992997665888
0.002,0.008,5.0,100,DNN-ABC,p1,0.5679506072433746,3.344842541963204,0.03361810003346202,0.9375,1.5661458224058151,0.1430476825608536
0.002,0.008,5.0,100,DNN-ABC,p2,0.3724065043248496,0.42676443269415354,0.028977568800057977,0.9375,1.5661458224058151,0.1430476825608536
0.002,0.008,5.0,100,DNN-ABC,tau,1.112130411848449,0.2224260823696898,8.420796884680843,1.0,1.5661458224058151,0.1430476825608536
0.002,0.008,5.0,100,NPE,p1,0.4952454533253076,2.132113860507696,0.030367551072524146,1.0,0.0014859288930892944,1.0
0.002,0.008,5.0,100,NPE,p2,0.0270412171425705,0.05947313073297694,0.029299640322969344,1.0,0.0014859288930892944,1.0
0.002,0.008,5.0,100,NPE,tau,0.4364613221658295,0.0872922644331659,8.781164525076747,1.0,0.0014859288930892944,1.0
