Z0,a,delta,p,tp,J,rep,d_bar,d_1,d_2,d_3,d_4,d_5,d_6,d_7,d_8,d_9,d_10,d_11,d_12,d_13,d_14,d_15,d_16,d_17,d_18,d_19,d_20,d_21,d_22,d_23,d_24,d_25,d_26,d_27,d_28,d_29,d_30,d_31,d_32,d_33,d_34,d_35,d_36,d_37,d_38,d_39,d_40,d_41,d_42,d_43,d_44,d_45,d_46,d_47,d_48,d_49,d_50,d_51,d_52,d_53,d_54,d_55,d_56,d_57,d_58,d_59,d_60,d_61,d_62,d_63,d_64,d_65,d_66,d_67,d_68,d_69,d_70,d_71,d_72,d_73,d_74,d_75,d_76,d_77,d_78,d_79,d_80,d_81,d_82,d_83,d_84,d_85,d_86,d_87,d_88,d_89,d_90,d_91,d_92,d_93,d_94,d_95,d_96,d_97,d_98,d_99,d_100
1,1,1,1e-08,17.8417394587967,100,1,0.0001487956455253,0.0,0.0,0.0005158657350421,0.0001990217247676,0.0,0.0006113292119954,0.0,0.0001252629406136,0.0,0.0,0.0001026657927358,0.0001089059359497,0.0,0.0,0.0,0.0,0.0001963438902161,0.0,0.0,0.0003366719885772,0.0,0.0001186917099849,0.0002234999084038,0.0,0.000311937092296,0.0002483722322274,0.0004671267494202,0.0001786910313109,0.0,0.0002603834268855,0.0001339033915867,0.0005587637843015,0.0,0.000163645712753,0.0002666825780165,0.0001088020097889,0.000116371260806,0.0,0.0002070606269668,0.0,0.0,0.0002050109833211,0.0,0.0002316466405098,0.0,0.0001372802448292,0.000192186409352,0.000231601978906,0.0,0.0001165748398838,9.00694896258626e-05,0.0003120199985767,0.0,0.000840221114527,0.0,0.0,0.0,0.0,0.0,0.0002887704603728,0.0001186240628204,0.0002884248993465,0.000315116643694,0.0001076575859738,0.0,0.0001474032710769,0.0002146389178189,0.0001309771793998,0.0001662798347266,0.0003902708982983,0.0002312941338623,0.0,0.0,9.01987663384798e-05,0.0,0.0,0.0,0.0002876394616034,0.0007975641653529,0.0,0.0,0.0002215218689313,0.0,0.0,0.0,0.0009999180782496,0.0,0.0002987770894014,0.0002827225825144,0.0003011366024497,0.0,0.0,0.0,0.0002401763441137,0.000248444507471,0.0001578601491434,0.0002997100912774,0.0,0.0,0.0003378265241172
1,1,1,1e-08,17.8417394587967,100,2,0.0001665470985451,0.0,0.0003605171879928,0.0,0.0,0.0,0.000231207164891,0.0001385296532373,0.0002528506433413,0.0,0.0,0.0002957617327513,0.0003466183564785,0.0001773709857584,0.0,0.0002659565814577,0.0,0.000413666605876,0.0,0.0002129287332673,0.0002513464205993,0.0002195825121684,0.0002252525099046,0.000277189060733,0.000125972904874,0.0,0.0003186302355744,0.0,0.0002138213393195,0.0,8.45178230963915e-05,0.0001437153112232,0.0,0.000119347692104,0.0002199808862225,0.0,0.0003230416024539,0.0,0.0003462809307,0.0005481869505848,0.0,0.0,0.0,0.0002390300890514,0.0001873905241769,0.0003138386047732,0.0,0.0,0.0,0.0,0.0005186355330123,0.0,0.0,0.0003740273822962,0.0001208941019895,0.0,0.0001501936681789,0.0004104828233764,0.0,0.0002000373184423,0.0007684089113566,0.0001031818962886,0.0,0.0003870635917398,0.0004036109925981,0.000172781614341,0.0002609434261132,0.0,0.0003265438704762,0.0006176188509686,0.0001267506288436,0.0,0.0002761818131604,0.0,0.0,0.0001781797245287,0.0003074303068018,0.0,0.0,0.0006144820869613,0.000996142312998,0.0,0.0,0.000120918406147,0.0001903012300205,0.0001959359907514,0.0001985232269705,0.0,0.0002833085348399,0.0001307592881103,0.0,7.49734709262266e-05,0.0001562248904051,0.0005076421408895,0.0,0.0,0.0,0.0002591893224029,0.0001496369395829,0.0,0.0002211725163785
1,1,1,1e-08,17.8417394587967,100,3,0.0002445260400441,0.0002124915146428,0.0,0.0,0.0,0.0,0.0001325907198205,0.0003412120138991,0.0,0.0002635688870775,0.000185118848533,0.0010357411461525,0.0003571489956939,0.0,0.0001693045401108,0.0003734108057791,0.0,0.0,0.0001207694264425,0.0003933112841114,0.0,0.0005575678693693,0.0003123210309363,0.0004632672256229,0.0,0.0,0.0002196335616946,0.0,0.0003854001822749,0.0012981566544048,0.0004117554737822,0.0002039208900615,0.0003296013399188,0.0005598679346384,0.0002431035921948,0.0004047271853505,0.0,0.0004193591726192,0.0002058654586871,0.0,0.0002354751201024,0.0004430285801947,0.0,0.000131279343446,0.0002131746185969,0.0001162756228971,0.0002275905198183,0.002729553361347,0.0,0.0011374875626424,0.0,0.0,0.0,9.86278698024905e-05,0.0001943026482789,0.0,0.0016196578677812,0.0001876437788574,0.0003387737214668,0.0001022936863831,0.0001000984351516,0.0005334477484123,0.0001899616047565,0.0,0.0,0.0002280709123765,0.0004683535773171,0.0,0.0003735625101062,0.0,0.0001384476903053,0.000489955733975,0.0001513708428904,0.0,0.0002012477644903,0.0,0.0003027356508412,0.0,0.0001456751918859,0.0,0.0,0.0005949535062516,0.0003474425320004,0.0001809595631624,0.0,9.44795296146528e-05,0.0003968005007244,0.0003169130684576,0.0001469025605696,0.0,0.0001788632233362,0.0,0.0,0.0003396782482563,0.0002530898049241,9.3616849252297e-05,0.000152996674076,0.0,0.0001288438531471,0.0002721677345675,0.000257588638128
1,1,1,1e-08,17.8417394587967,100,4,0.0001929733817562,0.0,0.0,0.0,0.0002425440300459,0.0002515832977918,0.0,0.0,0.0,0.0,0.0,0.0008210608665944,0.0,0.0,0.0,0.0001449576193534,0.0001156009558658,0.0012710010088333,0.0002368357251357,0.0,0.0,0.0001179782801665,0.00041144995873,0.0001877679368764,0.00029084330642,0.0002017646298413,0.000741381684118,0.0,0.0,0.0005946698912459,0.0,0.0004500064102463,0.0,0.0,0.0,0.0003172537193328,0.0002090220642778,0.0,0.0003300256701969,0.0002418579318083,0.0,0.0001472766013285,0.0,0.0003287730412733,0.0,0.0,0.0005907672640773,0.0,0.0002185621130192,0.0001144537559744,0.0001917845009045,0.0,0.0006265793542412,0.0,0.0,0.0,0.0,0.000150697566033,0.000152010384561,0.0,0.0002600761938762,0.0,0.0001954722415614,0.0,0.0003309916344813,0.0003869111022201,0.0,0.000668190536661,0.0005378082848524,0.0002862390867162,0.0002113610899636,0.0003170481272763,0.0001560366842488,0.0005012414664112,0.0,0.0,0.0001519633338587,0.0,0.0026406177469713,0.000231790135637,0.0003194307661869,0.0001460791856206,0.0001182968440453,0.0,0.0,0.0,0.0,0.0,0.0,0.0002488936840556,0.000440974549711,0.0003042596156636,0.0,0.0001741311884179,0.0,0.0002086932818735,0.0002027169856651,0.0004204706154238,0.0,0.0,0.0001391342259341
1,1,1,1e-08,17.8417394587967,100,5,0.0001919217714394,0.000249869500689,0.0,0.0,0.0,0.0010027243067551,0.0,0.0,0.0,0.0003731284969722,0.0003579148553301,0.0019825033084275,0.0,0.0,0.0,0.0001849364271685,0.0,0.0002310390197103,0.0002471716384318,0.0002525498659665,0.0,0.0002209919988489,0.0,0.0002451535179491,0.0001392381366906,0.0,0.0002844700353454,0.0,0.0002655605090765,0.0002129383315022,0.0001823925403585,0.0002194168889719,0.0,0.0005532547698983,0.0,0.0003528481097935,0.0002496352140314,0.0,0.0001567072010166,0.0003382024685069,0.0009627151954606,0.0001847579984912,0.0,0.0001893826189199,0.0002450012275873,0.0001756240970707,0.0,0.0001819901731122,0.0,0.0001000568148823,0.0013016548381501,0.0001258070470056,0.0012960772617463,0.0001200119556104,0.0004859143392955,0.0001745829823612,0.0001994449987751,0.0,0.0001947456708171,0.0004888313465976,0.0,0.0,0.0,0.0,0.0003802845045693,0.0,0.0001303476440274,0.0,0.0001531879316816,0.0,0.0,0.0,0.0,0.0,0.0001015319610162,0.0001429370947659,0.0001538347941576,0.0002581437733307,0.0,0.0001002732534449,0.0,0.0005739640119176,0.0003312746688689,0.0,0.0002430598682405,0.0001559850447373,0.0002504219983877,0.0002425717637866,0.0,0.0,0.0,0.0001514354932698,0.0003642778225546,0.0001508637182581,0.0,0.0,0.0002958380287577,0.0002826980608456,0.0,0.0,0.0
1,1,1,1e-08,17.8417394587967,100,6,0.0001562234676775,0.0004750188614436,0.0002006923202851,0.0004491697049839,0.0,0.0,0.0,0.0,0.0003517878662395,0.0,0.0003785457436559,0.0,0.0,0.0,0.0,0.0,0.0009005363931485,0.0001435979827438,0.0,0.0,0.0004552575591304,0.0,0.0001835664738901,0.0001122894047064,0.0002107696131158,0.0001792810646901,0.0003727989213305,0.0,0.0,0.0,0.0002143341308356,0.0,0.0,0.0001054378973336,0.0003449269532903,0.0,0.0,0.0003178583621458,0.0,0.0,0.0,0.0002885567286797,0.0001743896194425,0.0001820518003592,0.0,0.0004820079935152,0.0001173633208426,0.0001228244788574,0.0003716722371441,0.0,0.0001544806631115,0.0,0.0004259049721804,0.0006562842304574,0.0,0.0,0.0,0.0002269368408863,0.0,0.0,0.0001622121112764,0.0002911314675517,0.0,0.0,0.0003547609927596,0.0001070380829145,0.0001375116503086,0.0003233773558609,0.0,0.0001894929994132,0.0003131752014274,0.0,0.0,0.0,0.0008549697971256,0.0002471898468052,0.0,0.0,0.0,0.0,0.0,0.0,0.0003296383012585,0.0002228520557794,0.0,0.0,0.0001296120350122,0.000145800567051,0.0002131109731517,0.0009970834205654,0.0002498907123295,0.0,0.0008136660588341,0.0,0.0001436362206618,0.0002583773966012,0.0,0.0,0.0002011376945072,0.0,0.0003383396881168
1,1,1,1e-08,17.8417394587967,100,7,0.0001680285586041,0.0002832020305257,0.0004247044096741,0.0001615736991456,0.0,0.0002508017097998,0.0,0.0,0.0003755559761859,0.0006243296247284,0.0,0.0,0.0001106788944919,0.0001520362108552,0.0001610610164639,0.0001490952588941,0.0003183764403718,0.0,0.0002011332828788,0.0001787372286024,0.000150415931365,0.0,0.0002552733559172,0.0004217146833609,0.0003223129224731,0.0,0.0001693604337241,0.0,0.0006832874269214,0.0,0.0001575681395414,0.0001625728470767,0.0002610181401468,0.0003279309933823,0.0001009247233586,0.0,0.0,0.0,0.0003353244051777,0.0002276201342567,0.0,0.0002072934834468,0.0,0.0002662443004002,0.0,0.0,0.0003149065671516,0.0,0.0,0.0001404478008583,0.0,9.78971256739836e-05,0.0006229746499825,0.0,0.0,0.0002781613726838,0.0,9.22486443006961e-05,0.0004204277178462,0.0,0.0,0.0,0.0,0.0002356727984612,0.0002004874120063,0.0,0.0,0.0002790964581282,0.0,0.0,0.0005694039444867,0.0001083200950158,0.0001642238388892,0.0002308825050587,0.0001630619435814,0.0013604960006304,0.0004614159936868,0.0,0.0003151283809359,0.0005511099212157,0.0001068652178868,0.0,0.0001838862147388,0.0001443678636663,0.0004327450698799,0.0,0.0004078709040565,0.0,0.0002202498171338,0.0002454326513132,0.0001709794973748,0.0,0.0,0.0001564127558535,0.0,0.0006875349947507,0.0,0.0,0.0,0.0,0.0
1,1,1,1e-08,17.8417394587967,100,8,0.0001607552023346,0.0001596815139373,0.0002532636275367,0.0007586748398618,0.0002852306012814,0.0,0.0,0.0004264063913295,0.000395116904364,0.0001315363958353,0.0001715138846111,0.0,0.0,0.0,0.0,0.0,0.0001993597951394,0.0005893277866691,0.0002874697782872,0.001119989454563,0.0,0.0001443508323951,0.0,0.0,0.0002362559136693,0.0,0.0002220022602604,0.0,0.0002233213688727,0.0,0.0,0.0,0.0003274412712246,0.0,0.0,0.000405532330468,0.0,0.000181829228655,0.0,0.0004593170823935,0.0003348594672647,0.0002804658198633,0.0006925081321396,0.0001545484825534,0.0,0.0,0.0002371705470417,0.0005502516706439,0.000567471876429,0.0001656305986937,0.0,0.0,0.0,0.0,0.0,0.0,0.0001607572084545,0.000338146162028,0.0001999536501173,0.000263317027153,0.0002043099500182,0.0001950070105378,0.0,0.0,0.0,0.0004763133398354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003586783665276,0.0,0.0,0.0,0.0002206519300552,0.0008705492404001,0.0,0.0,0.0,0.0,0.0002946434468707,0.0,0.0,0.0002342820616923,0.0001695598461682,0.0004299547130666,0.0,0.0,0.0001461787447721,0.0003880384848804,0.0001925116343666,0.000165871970234,0.0002200185449038,0.0,0.0003649286777503,0.0,0.0002213203676517
1,1,1,1e-08,17.8417394587967,100,9,0.0002158930887213,0.0002737389738385,0.0,0.0,0.0,0.0,0.0,0.0002815736813434,0.0,0.0008045861767917,0.0,0.0002654318105115,0.0,0.0013299299825433,9.20185044887344e-05,0.0,0.0001783615137825,0.0002126083642012,0.0002361583634839,0.0001996028421477,0.0001167803930714,0.0,0.0002230449692049,0.0005999048191532,0.000848478468948,0.0,0.0,0.0,0.0001956825339719,0.0003523472853979,0.0002862785894718,0.0,0.0003264121490769,0.0003828482307056,0.0006161812316182,0.0,0.0,0.0002138992805259,0.0,0.0001473486899269,0.0003138470719037,0.0,0.0001335472389852,0.0,0.0003786517342951,0.0005895690195783,0.0002555916129667,0.0005316797884092,0.0,0.0,0.0002880966919617,0.0,0.0004425310339683,0.000111960427832,0.0,0.0,0.0004140193279711,0.0,0.0002227121877125,0.0003410881965734,0.0,0.0001958587199484,0.0,0.0001559959498473,0.0,0.0,0.0,0.0,0.0,0.0002645162867456,0.0,0.0,0.0,0.0003079409035903,0.0001719970364753,0.0013554988559881,0.0008271621249003,9.72609498187326e-05,0.0,0.0,0.0013630173069389,0.0,0.0001244209841396,0.0001061851905212,0.0,0.0027722110659992,0.0001479245524033,0.0,0.0004089189971449,0.0,0.0,0.0,0.0,0.0,0.0004833150526809,0.0002885802433683,0.0001853103787074,0.0,0.0001266830865513,0.0,0.0
1,1,1,1e-08,17.8417394587967,100,10,0.0001389819414401,0.0,0.0,0.0001209471982508,0.0,0.0,0.0,0.0011370483707394,0.0,0.0,0.0001331238983462,0.0,0.0003779891421056,0.0,0.0003094982236696,6.7069030016467e-05,0.0,0.0,0.0,0.0,0.0002797779700872,0.0,0.0001854917958505,0.0,0.0015594495690265,0.0001917788028708,0.0,0.0005960524935901,0.0,0.0,0.0001245357380104,0.0001753116857946,0.0002068688636508,0.0002554146592702,0.0002612530644397,0.0,0.0,0.0,8.19897818646977e-05,0.0007227417248839,0.0,9.00520341355931e-05,0.0002030064729172,0.0003374057031163,0.0,7.94318848270515e-05,0.0006325406144685,0.0,0.0,0.000369238129946,0.0,0.0001784959764653,0.0001504319015033,0.0,0.0,0.0,0.0005668294815613,0.0001305892060383,0.0,9.93081344821927e-05,0.0,0.000224169688413,0.0,0.0,0.0002283595813063,0.0001977335465606,0.0,0.0,9.40617855559067e-05,0.0,0.0003618372260506,0.0,0.0,0.0,0.0,0.0005507374734389,0.0001819828585686,0.0,0.0001074873166685,0.0,0.0,0.0001260034670209,0.0,0.0006003337302333,0.0,0.0,0.0,0.0002590053410539,0.0001993896018094,0.0002252162946853,0.0002224496050351,0.0,0.0,0.0,0.0001809201459873,0.0,0.0001480859350596,0.0,0.0,0.0002555707706386,0.0001111782239942
