p_true,a,delta,J,rep,obs,MOM,MLE,ABC-MCMC,ABC-MCMC_cilen,ABC-MCMC_cilo,ABC-MCMC_cihi,ABC-MCMC_acc,GPS-ABC,GPS-ABC_cilen,GPS-ABC_cilo,GPS-ABC_cihi,GPS-ABC_acc,DNN-ABC,DNN-ABC_cilen,DNN-ABC_cilo,DNN-ABC_cihi,DNN-ABC_acc
0.001,1.0,1.0,100,7,0.07312197409376106,0.0010049252731583747,0.0010788206630903418,0.0009922642996361493,0.0008276417899932926,0.0006341917539176174,0.00146183354391091,0.4974958263772955,0.0008581760873853088,0.001805829897311285,0.00030757848221352207,0.002113408379524807,0.7796327212020033,0.000981832746088969,0.0008349478819163694,0.0006116534234351583,0.0014466013053515278,0.6343906510851419
0.001,1.0,1.0,100,2,0.07682562708474669,0.0015698685742299712,0.0016878005835900248,0.0010595368484761468,0.000950885707478784,0.0006590734954425541,0.0016099592029213382,0.48414023372287146,0.0008912106421515733,0.0017364449185228164,0.0002816974222850232,0.0020181423408078395,0.8213689482470785,0.0010634806148632082,0.0009155672244875843,0.0006359999735486357,0.00155156719803622,0.5959933222036727
0.001,1.0,1.0,100,0,0.07560457207848634,0.0008903577067589374,0.000955952588241906,0.001099515706286235,0.0010519611920843885,0.0006414684692795923,0.0016934296613639807,0.5308848080133556,0.0009305983390015394,0.0019903275833679296,0.00034854594997438395,0.0023388735333423134,0.8196994991652755,0.00105951904405618,0.001028773311953078,0.0006449181667946982,0.0016736914787477762,0.5959933222036727
0.001,1.0,1.0,100,16,0.08191548941027321,0.0020055664559844866,0.0021537376589965632,0.00126168127588629,0.0009290720934119696,0.0008113127348947886,0.0017403848283067582,0.5025041736227045,0.0009495780962133043,0.0019942423717597144,0.0002520501604484419,0.0022462925322081564,0.8080133555926544,0.001207783186825462,0.0010265626963608995,0.0007235052932970805,0.00175006798965798,0.5726210350584308
0.001,1.0,1.0,100,18,0.08051037327871656,0.0014010473779672017,0.0015087938665497163,0.0012488651138904926,0.0010317312308637018,0.0007347348545973585,0.0017664660854610603,0.5242070116861436,0.0012442808314211025,0.002889436492241915,0.0003502905635697669,0.003239727055811682,0.8196994991652755,0.0011827723171107998,0.0010924442089781249,0.0007297471833575421,0.001822191392335667,0.5976627712854758
0.001,1.0,1.0,100,19,0.07197880388579492,0.0008364672947431817,0.0008987728095805812,0.0009675792889294084,0.001109324257537948,0.00042988432459938313,0.0015392085821373312,0.5358931552587646,0.0007591521684104727,0.0017595647349801927,0.0002827283915200622,0.002042293126500255,0.8647746243739566,0.0009156986246331981,0.0007253285282995625,0.0005864027864365804,0.001311731314736143,0.6243739565943238
0.001,1.0,1.0,100,17,0.0859128908946678,0.001694424611756562,0.0018197504288402391,0.0013592272392120301,0.001357284503426006,0.000741511557313555,0.002098796060739561,0.4691151919866444,0.0010878918116221871,0.0022957707002050484,0.0002567617195335845,0.002552532419738633,0.8080133555926544,0.001377862880799033,0.0012013231958984964,0.0008831120445286652,0.0020844352404271616,0.5959933222036727
0.001,1.0,1.0,100,25,0.06394299319715886,0.0008015486887831824,0.0008613604115446906,0.0007753417349309398,0.0006932613023617932,0.000516067141127538,0.0012093284434893312,0.4674457429048414,0.0006538821814340799,0.0009430534560073399,0.00028716066151708157,0.0012302141175244215,0.8247078464106845,0.0007585489771490326,0.0007577108801653011,0.00043829916380248054,0.0011960100439677816,0.6193656093489148
0.001,1.0,1.0,100,22,0.07025871966850214,0.0006909533885277597,0.0007420944427280399,0.0009735280999506116,0.000873172622045005,0.0005872318810648897,0.0014604045031098947,0.4991652754590985,0.0009268834809503882,0.0021962158354524005,0.00025828022395683664,0.002454496059409237,0.8263772954924875,0.0009250569301616588,0.0008284768996038369,0.0005366399734513459,0.0013651168730551828,0.6126878130217028
0.001,1.0,1.0,100,5,0.0796092687785848,0.0011850543360427124,0.0012745968647286797,0.0011818565115356014,0.0010669462938154852,0.0007175922620096028,0.001784538555825088,0.5325542570951586,0.0013340746199855791,0.003658016152126066,0.00041839102511063097,0.004076407177236697,0.8163606010016694,0.0011178999918679453,0.0010026256408851358,0.0006335322905551559,0.0016361579314402917,0.5943238731218697
0.001,1.0,1.0,100,26,0.07251008847728618,0.0013029174885536565,0.0014013407852470714,0.0009869658237342074,0.0009560971247452013,0.0005519948837695993,0.0015080920085148006,0.4941569282136895,0.0008413284367374551,0.001634772376003904,0.00028861746932465376,0.0019233898453285578,0.8213689482470785,0.0010336189522334998,0.0008643359637341236,0.0006607001909424375,0.001525036154676561,0.5976627712854758
