p1_true,p2_true,tau_true,J,rep,obs,GPS-ABC_secs,GPS-ABC_acc,GPS-ABC_p1,GPS-ABC_p1_cilen,GPS-ABC_p1_cov,GPS-ABC_p2,GPS-ABC_p2_cilen,GPS-ABC_p2_cov,GPS-ABC_tau,GPS-ABC_tau_cilen,GPS-ABC_tau_cov,GPS-ABC_ess_p2,GPS-ABC_ess_tau,GPS-ABC-ref_secs,GPS-ABC-ref_acc,GPS-ABC-ref_p1,GPS-ABC-ref_p1_cilen,GPS-ABC-ref_p1_cov,GPS-ABC-ref_p2,GPS-ABC-ref_p2_cilen,GPS-ABC-ref_p2_cov,GPS-ABC-ref_tau,GPS-ABC-ref_tau_cilen,GPS-ABC-ref_tau_cov,GPS-ABC-ref_ess_p2,GPS-ABC-ref_ess_tau,DNN-ABC_secs,DNN-ABC_acc,DNN-ABC_p1,DNN-ABC_p1_cilen,DNN-ABC_p1_cov,DNN-ABC_p2,DNN-ABC_p2_cilen,DNN-ABC_p2_cov,DNN-ABC_tau,DNN-ABC_tau_cilen,DNN-ABC_tau_cov,DNN-ABC_ess_p2,DNN-ABC_ess_tau
0.0001,0.01,3.0,100,0,0.5956648848942828,8.554523944854736,0.432810936978993,0.006776725082407276,0.03764867933510373,1,0.01253690679849215,0.0373643390626033,1,5.210468448734897,8.997655536788958,1,12.214059210316924,50.01944271274098,1.7171270847320557,0.7435811937312438,0.006249953194720921,0.03829981455582979,1,0.009227396262945426,0.034396352641945516,1,5.917895565580046,9.006197762330135,1,19.19011444938935,50.574450962731994,1.5469589233398438,0.1373791263754585,0.0038954753606280815,0.03539004687835136,1,0.016537320498982537,0.04486185722990636,1,5.2640862803370325,8.84094996721027,1,24.458155598099825,16.365658505806447
0.0001,0.01,3.0,100,1,0.6024275613303259,7.596706867218018,0.4211403801267089,0.007567026243869034,0.0420810296462849,1,0.012196647244069797,0.03305033883956306,1,4.169355772102221,8.990936421736818,1,45.48392341584532,40.24920735142054,1.686075210571289,0.7532510836945648,0.008638000054111266,0.03727220838104226,1,0.008027360969630123,0.03697057503058063,1,6.735027722807952,8.756767943849775,1,16.334269114863194,90.49802435856923,1.5658609867095947,0.136378792930977,0.012916797677890194,0.04427145898236018,1,0.007670249946915056,0.024931841404980976,1,5.410899202699102,9.022073868579803,1,4.048705089405038,9.009966747180302
0.0001,0.01,3.0,100,2,0.5891368349118412,5.801641941070557,0.41213737912637544,0.002419559450605832,0.017256569129284555,1,0.014185186760909858,0.03905102158217548,1,4.827331590085718,8.83909842148131,1,45.28299523309496,47.07116356788001,1.7141523361206055,0.7792597532510837,0.005422632786592372,0.03323168482259886,1,0.006858809710509551,0.032818451238552114,1,6.32941518938156,9.03842708584346,1,17.857517303058557,86.86472184913633,1.5206279754638672,0.14404801600533512,0.006226515909946048,0.03635049639759946,1,0.01379188469568833,0.043310218337851765,1,6.0047747772085565,8.422130677567635,1,9.021412093649753,21.10994718452145
0.0001,0.01,3.0,100,3,0.6005422580667318,4.576211929321289,0.42014004668222743,0.0045985878354472985,0.030848505107788107,1,0.01384873779705967,0.035029035821419405,1,5.163230980160342,9.12965546823735,1,41.169370949320445,65.86865941438461,1.7151360511779785,0.7465821940646882,0.006471461067052389,0.03727193232355194,1,0.012022888075808024,0.03808746959118699,1,5.059653829391376,8.969548486909613,1,36.86565030529195,78.23657896679313,1.5851678848266602,0.14138046015338446,0.008539337220261447,0.043162275486715376,1,0.013571914190752108,0.033817038273734626,1,5.8054769945838745,8.723262115083529,1,7.7806911295079075,21.4342166692314
0.0001,0.01,3.0,100,4,0.5986299475821453,3.9862680435180664,0.3624541513837946,0.010820315466208668,0.041887831212840815,1,0.010577222005468739,0.036524725615113794,1,5.930030905060972,8.91259135654053,1,9.946781887430909,35.09344426442844,1.653244972229004,0.7485828609536512,0.006987459160911863,0.04028489024008137,1,0.012363557940201808,0.042199163538332564,1,5.469099908739023,9.082536059150609,1,23.644401564458093,47.63799937166295,1.568222999572754,0.14038012670890296,0.007815146196832275,0.03237751718709372,1,0.010215237991974192,0.04024872788270573,1,5.2594866174126995,8.748456821077681,1,5.916206642670829,6.878223998642153
0.0001,0.01,3.0,100,5,0.5900512247987961,3.459143877029419,0.36178726242080694,0.008607887519386643,0.03833503147866441,1,0.01034516826041797,0.0365267554762247,1,5.240993605657155,8.745961325155694,1,12.286677397595026,28.393349901273915,1.683485984802246,0.764921640546849,0.007102084303773604,0.03753959689234887,1,0.008609055599505394,0.035089017177064856,1,5.747719771556534,9.219085472527581,1,13.931265326059561,74.2305341731677,1.5439581871032715,0.13804601533844615,0.006351857524815227,0.038773422733064486,1,0.012592276968029342,0.04631800425689395,1,5.786445329075091,9.434607751859854,1,15.737262664929283,10.46638617146158
0.0001,0.01,3.0,100,7,0.5886010933980486,2.280595064163208,0.4041347115705235,0.008147893221582242,0.03247619100516626,1,0.011466002602146794,0.04190971658909194,1,6.407611162178368,9.234011696516026,1,4.827414701280152,33.76803707110274,1.687647819519043,0.75891963987996,0.009002992787565322,0.043791026442361033,1,0.005119320677608094,0.03540222090972831,1,6.3024413934727335,8.900189404218187,1,21.60407039236467,72.1563945709718,1.4981579780578613,0.15071690563521173,0.008269588470846282,0.03738656820983416,1,0.012004946925716542,0.04429174724677354,1,5.681151502638511,9.567377524277317,1,24.514574134840938,10.377447876465057
0.0001,0.01,3.0,100,8,0.5751078707698022,2.2180821895599365,0.3644548182727576,0.00492523968312851,0.03520866266599265,1,0.011443176015701337,0.03675847154118491,1,4.375510322912709,9.264817600070769,1,83.15530491332474,42.819724234901116,1.6991779804229736,0.7789263087695899,0.006395731049638222,0.034905710882129244,1,0.007420151134724405,0.03285702628978865,1,5.827085989547138,9.046162130398011,1,27.209786835761047,80.0501276505768,1.5606210231781006,0.14971657219073026,0.0046536474868837776,0.03077075989601519,1,0.011670229853439788,0.03661907605310431,1,5.347270520654618,8.568549832051877,1,25.19026469192821,22.576147137728615
0.0001,0.01,3.0,100,6,0.5901253264711686,2.3874459266662598,0.41613871290430143,0.005729920012672978,0.03849262890384958,1,0.013182758541072277,0.04038180231722414,1,4.461567609039556,9.146352060439455,1,51.25952999312971,42.12684171729667,1.6949820518493652,0.7579193064354784,0.007507191467116835,0.039225485810517755,1,0.013146775903314756,0.04089927874241978,1,5.989684898733599,9.05328971339455,1,14.25545173923818,68.12730316394347,1.5613319873809814,0.1587195731910637,0.014188777224711877,0.04145189629280145,1,0.005961716732720479,0.03768311616137861,1,6.384836944888287,9.37563021111124,1,6.246732727711482,12.160406786096926
0.0001,0.01,3.0,100,9,0.5964544315872281,1.9491751194000244,0.41513837945981996,0.006714636119473344,0.03612014773442959,1,0.012034852535558376,0.03922669742042978,1,4.356167732711769,9.093036165615874,1,21.56161008953418,42.862626380092514,1.715203046798706,0.7552517505835279,0.0076457111728484295,0.03713421518681233,1,0.007923383051255062,0.039742085655994325,1,6.043603583795202,9.252560448509962,1,15.10936916147864,60.3377726921697,1.5515379905700684,0.1393797932644215,0.012030189301423102,0.043930171262066435,1,0.009477359900490381,0.027843534335110644,1,5.750382116057616,8.730592621514953,1,5.2549780920312426,22.724050471180202
