p1_true,p2_true,tau_true,J,rep,obs,GPS-ABC_secs,GPS-ABC_acc,GPS-ABC_p1,GPS-ABC_p1_cilen,GPS-ABC_p1_cov,GPS-ABC_p2,GPS-ABC_p2_cilen,GPS-ABC_p2_cov,GPS-ABC_tau,GPS-ABC_tau_cilen,GPS-ABC_tau_cov,GPS-ABC_ess_p2,GPS-ABC_ess_tau,GPS-ABC-ref_secs,GPS-ABC-ref_acc,GPS-ABC-ref_p1,GPS-ABC-ref_p1_cilen,GPS-ABC-ref_p1_cov,GPS-ABC-ref_p2,GPS-ABC-ref_p2_cilen,GPS-ABC-ref_p2_cov,GPS-ABC-ref_tau,GPS-ABC-ref_tau_cilen,GPS-ABC-ref_tau_cov,GPS-ABC-ref_ess_p2,GPS-ABC-ref_ess_tau,DNN-ABC_secs,DNN-ABC_acc,DNN-ABC_p1,DNN-ABC_p1_cilen,DNN-ABC_p1_cov,DNN-ABC_p2,DNN-ABC_p2_cilen,DNN-ABC_p2_cov,DNN-ABC_tau,DNN-ABC_tau_cilen,DNN-ABC_tau_cov,DNN-ABC_ess_p2,DNN-ABC_ess_tau,NPE_secs,NPE_acc,NPE_p1,NPE_p1_cilen,NPE_p1_cov,NPE_p2,NPE_p2_cilen,NPE_p2_cov,NPE_tau,NPE_tau_cilen,NPE_tau_cov,NPE_ess_p2,NPE_ess_tau
0.0001,0.01,3.0,100,0,0.5956648848942828,9.666074991226196,0.432810936978993,0.0067767250824072,0.0376486793351037,1,0.0125369067984921,0.0373643390626033,1,5.210468448734897,8.997655536788958,1,12.214059210316924,50.01944271274098,2.804905891418457,0.7435811937312438,0.0062499531947209,0.0382998145558297,1,0.0092273962629454,0.0343963526419455,1,5.917895565580046,9.006197762330135,1,19.19011444938935,50.574450962731994,1.7344639301300049,0.1373791263754585,0.003895475360628,0.0353900468783513,1,0.0165373204989825,0.0448618572299063,1,5.2640862803370325,8.84094996721027,1,24.458155598099825,16.365658505806447,0.017108917236328125,1.0,0.007382481824606657,0.034168121959964985,1,0.00975591316819191,0.03458467935133736,1,5.338590621948242,8.737318032979964,1,2000.0,2000.0
0.0001,0.01,3.0,100,1,0.6024275613303259,9.546818017959597,0.4211403801267089,0.007567026243869,0.0420810296462849,1,0.0121966472440697,0.033050338839563,1,4.169355772102221,8.990936421736818,1,45.48392341584532,40.24920735142054,1.9623627662658691,0.7532510836945648,0.0086380000541112,0.0372722083810422,1,0.0080273609696301,0.0369705750305806,1,6.735027722807952,8.756767943849775,1,16.334269114863194,90.49802435856924,1.68664288520813,0.136378792930977,0.0129167976778901,0.0442714589823601,1,0.007670249946915,0.0249318414049809,1,5.410899202699102,9.022073868579804,1,4.048705089405038,9.009966747180302,0.0018041133880615234,1.0,0.00783393532037735,0.03459359408138879,1,0.01021476648747921,0.03482057864462149,1,5.310227394104004,8.69391642063856,1,2000.0,2000.0
0.0001,0.01,3.0,100,2,0.5891368349118412,7.38963794708252,0.4121373791263754,0.0024195594506058,0.0172565691292845,1,0.0141851867609098,0.0390510215821754,1,4.827331590085718,8.83909842148131,1,45.28299523309496,47.07116356788001,1.7420921325683594,0.7792597532510837,0.0054226327865923,0.0332316848225988,1,0.0068588097105095,0.0328184512385521,1,6.32941518938156,9.03842708584346,1,17.857517303058557,86.86472184913633,1.7618041038513184,0.1440480160053351,0.006226515909946,0.0363504963975994,1,0.0137918846956883,0.0433102183378517,1,6.0047747772085565,8.422130677567635,1,9.021412093649753,21.10994718452145,0.0018687248229980469,1.0,0.007676661480218172,0.033549646937080964,1,0.00925515592098236,0.031143759160613595,1,5.331304550170898,8.665312248468398,1,1806.7713461628086,2000.0
0.0001,0.01,3.0,100,4,0.5986299475821453,4.773040771484375,0.3624541513837946,0.0108203154662086,0.0418878312128408,1,0.0105772220054687,0.0365247256151137,1,5.930030905060972,8.91259135654053,1,9.946781887430909,35.09344426442844,1.758737325668335,0.7485828609536512,0.0069874591609118,0.0402848902400813,1,0.0123635579402018,0.0421991635383325,1,5.469099908739023,9.082536059150607,1,23.644401564458093,47.63799937166295,1.7524118423461914,0.1403801267089029,0.0078151461968322,0.0323775171870937,1,0.0102152379919741,0.0402487278827057,1,5.2594866174126995,8.748456821077681,1,5.916206642670829,6.878223998642153,0.0018079280853271484,1.0,0.0070045338943600655,0.032234084524452526,1,0.010154964402318,0.0361145491375282,1,5.31399393081665,8.81181482821703,1,1914.347377026512,2000.0
0.0001,0.01,3.0,100,3,0.6005422580667318,5.074631214141846,0.4201400466822274,0.0045985878354472,0.0308485051077881,1,0.0138487377970596,0.0350290358214194,1,5.163230980160342,9.12965546823735,1,41.169370949320445,65.86865941438461,1.7424511909484863,0.7465821940646882,0.0064714610670523,0.0372719323235519,1,0.012022888075808,0.0380874695911869,1,5.059653829391376,8.969548486909613,1,36.86565030529195,78.23657896679313,1.7957639694213867,0.1413804601533844,0.0085393372202614,0.0431622754867153,1,0.0135719141907521,0.0338170382737346,1,5.8054769945838745,8.723262115083529,1,7.7806911295079075,21.4342166692314,0.0014951229095458984,1.0,0.007594651076942682,0.03466841579697756,1,0.01021752879023552,0.033275268950364936,1,5.327608585357666,8.708861337602137,1,1971.2001369914256,1739.2016918047843
0.0001,0.01,3.0,100,5,0.5900512247987961,4.263816833496094,0.3617872624208069,0.0086078875193866,0.0383350314786644,1,0.0103451682604179,0.0365267554762247,1,5.240993605657155,8.745961325155694,1,12.286677397595026,28.393349901273915,1.7559707164764404,0.764921640546849,0.0071020843037736,0.0375395968923488,1,0.0086090555995053,0.0350890171770648,1,5.747719771556534,9.21908547252758,1,13.93126532605956,74.2305341731677,1.791327953338623,0.1380460153384461,0.0063518575248152,0.0387734227330644,1,0.0125922769680293,0.0463180042568939,1,5.786445329075091,9.434607751859854,1,15.737262664929284,10.46638617146158,0.0014641284942626953,1.0,0.007310596294701099,0.03219346400533137,1,0.009454496204853058,0.03356293984111289,1,5.343895435333252,8.769183991849424,1,2000.0,2000.0
0.0001,0.01,3.0,100,6,0.5901253264711686,3.812386989593506,0.4161387129043014,0.0057299200126729,0.0384926289038495,1,0.0131827585410722,0.0403818023172241,1,4.461567609039556,9.146352060439456,1,51.25952999312971,42.12684171729667,1.8024358749389648,0.7579193064354784,0.0075071914671168,0.0392254858105177,1,0.0131467759033147,0.0408992787424197,1,5.989684898733599,9.05328971339455,1,14.25545173923818,68.12730316394347,1.7468349933624268,0.1587195731910637,0.0141887772247118,0.0414518962928014,1,0.0059617167327204,0.0376831161613786,1,6.384836944888287,9.37563021111124,1,6.246732727711482,12.160406786096926,0.0014312267303466797,1.0,0.007039855234324932,0.032773271853511664,1,0.009512996301054955,0.032546274263677295,1,5.293946266174316,8.875940968096257,1,1878.8406736163208,1576.1884116004824
0.0001,0.01,3.0,100,7,0.5886010933980486,1.908220052719116,0.4041347115705235,0.0081478932215822,0.0324761910051662,1,0.0114660026021467,0.0419097165890919,1,6.407611162178368,9.234011696516026,1,4.827414701280152,33.76803707110274,1.820496082305908,0.75891963987996,0.0090029927875653,0.043791026442361,1,0.005119320677608,0.0354022209097283,1,6.3024413934727335,8.900189404218187,1,21.60407039236467,72.1563945709718,1.8115122318267824,0.1507169056352117,0.0082695884708462,0.0373865682098341,1,0.0120049469257165,0.0442917472467735,1,5.681151502638511,9.567377524277315,1,24.514574134840935,10.377447876465055,0.0019021034240722656,1.0,0.0072602094151079655,0.032151165612913236,1,0.009278562851250172,0.03126851595507104,1,5.2949018478393555,8.716456308960913,1,2000.0,2000.0
0.0001,0.01,3.0,100,8,0.5751078707698022,1.9644577503204343,0.3644548182727576,0.0049252396831285,0.0352086626659926,1,0.0114431760157013,0.0367584715411849,1,4.375510322912709,9.264817600070767,1,83.15530491332474,42.81972423490112,1.8320128917694092,0.7789263087695899,0.0063957310496382,0.0349057108821292,1,0.0074201511347244,0.0328570262897886,1,5.827085989547138,9.046162130398011,1,27.209786835761047,80.0501276505768,1.7968246936798096,0.1497165721907302,0.0046536474868837,0.0307707598960151,1,0.0116702298534397,0.0366190760531043,1,5.347270520654618,8.568549832051877,1,25.19026469192821,22.576147137728615,0.0018990039825439453,1.0,0.006929798983037472,0.03177245426613808,1,0.008879286237061024,0.030338813256867003,1,5.360138416290283,8.545568853616713,1,2000.0,2000.0
0.0001,0.01,3.0,100,9,0.5964544315872281,1.783123254776001,0.4151383794598199,0.0067146361194733,0.0361201477344295,1,0.0120348525355583,0.0392266974204297,1,4.356167732711769,9.093036165615874,1,21.56161008953418,42.862626380092514,1.8503448963165283,0.7552517505835279,0.0076457111728484,0.0371342151868123,1,0.007923383051255,0.0397420856559943,1,6.043603583795202,9.252560448509962,1,15.10936916147864,60.3377726921697,1.7539258003234863,0.1393797932644215,0.0120301893014231,0.0439301712620664,1,0.0094773599004903,0.0278435343351106,1,5.750382116057616,8.730592621514953,1,5.2549780920312426,22.7240504711802,0.0016329288482666016,1.0,0.007829349488019943,0.0356339763794949,1,0.009740804322063923,0.03031260273428415,1,5.28731632232666,8.673910200595856,1,1811.0822902780892,1944.267225641079
0.0001,0.01,3.0,100,11,0.5959102743363554,1.734490156173706,0.4114704901633877,0.0089069091604509,0.0390184849090744,1,0.0108473892547831,0.0309803097693501,1,4.3148611718563865,9.435043582776515,1,24.11171665698937,40.91070895671128,1.8670649528503416,0.7692564188062687,0.007074377936414,0.0360775741773356,1,0.0037007691086689,0.0308548019823372,1,6.67828117525882,8.189050394791243,1,16.37946373588038,117.15218039319056,1.7244629859924316,0.1413804601533844,0.0024498708842054,0.0177669218159674,1,0.016829446114427,0.0449194811561192,1,5.721398948496377,8.279000021508294,1,11.53004825351285,13.14490327897584,0.0014948844909667969,1.0,0.00730722863227129,0.03332439006212548,1,0.009907458908855915,0.03383308980501169,1,5.295877456665039,8.710681894421578,1,2000.0,1947.3597193151177
0.0001,0.01,3.0,100,10,0.5966583602318528,1.8013291358947754,0.3881293764588196,0.0078613776016404,0.0329904483047929,1,0.0079388022932607,0.0283453389516415,1,5.366330363495941,9.38005151639751,1,8.091623685418464,12.62166099054888,1.959980010986328,0.7515838612870956,0.0090686178306448,0.0403388528781069,1,0.0096097676373953,0.0366733121877463,1,5.948877792685687,9.243828695407997,1,10.06623429798974,62.51479050509162,1.7894699573516846,0.1360453484494831,0.0130702936130206,0.0486133837624825,1,0.0075150519254907,0.0239880751868629,1,5.462413472168065,8.676472946987163,1,6.88033709237408,13.084077955716118,0.0014181137084960938,1.0,0.007475140038877726,0.03328123715473337,1,0.010002258233726025,0.036640837750019264,1,5.408450603485107,8.745534418523311,1,2000.0,2000.0
