p_true,J,rep,obs,MOM,MLE,ABC-MCMC,ABC-MCMC_cilen,ABC-MCMC_acc,GPS-ABC,GPS-ABC_cilen,GPS-ABC_acc,DNN-ABC,DNN-ABC_cilen,DNN-ABC_acc
0.0001,10,4,0.025268342405736433,8.422320595130595e-05,8.871558947072247e-05,0.00012495472432632853,0.0005250351570583163,0.5993322203672788,0.0001196109820604067,0.00012015043579987237,0.6861435726210351,0.00011135505452458013,0.00012382796217707344,0.6944908180300501
0.0001,10,2,0.03194735900646324,7.348118334987719e-05,7.771669844379511e-05,0.00014281528923332609,0.0003476457802757763,0.6060100166944908,0.00020164763275679794,0.00023999521297586395,0.6527545909849749,0.00018196692164452842,0.000191876215687517,0.676126878130217
0.0001,10,7,0.027907542566707515,5.257204130304505e-05,5.551189337222373e-05,0.00011710094174009831,0.00035915727237524376,0.6243739565943238,0.00015680353180591713,0.00017271168675360416,0.672787979966611,0.00013741840768904636,0.00017920732597667623,0.664440734557596
0.0001,10,19,0.025520898029690008,7.34300707828095e-05,7.765563331109808e-05,6.034980770125515e-05,0.00016526182870611527,0.6160267111853088,0.00012789810294837743,0.00016039684639649915,0.6894824707846411,0.00012054066402085423,0.00014658138048239612,0.6527545909849749
0.0001,10,21,0.02522560863076554,9.461149054629248e-05,9.983613938154488e-05,0.00011980880201460705,0.00024624941073052455,0.5909849749582637,0.00012177786199711934,0.0001260090839944897,0.6494156928213689,0.00011761964439046349,0.00012955294462970178,0.679465776293823
0.0001,10,18,0.02450052426240077,9.692083938095397e-05,0.0001025443102647373,0.00011671734765955738,0.0002658165891363339,0.6894824707846411,0.00012162654196414776,0.00018645347166975035,0.662771285475793,0.00010597358204672082,0.0001207921075080577,0.6961602671118531
0.0001,10,17,0.02284989943610511,9.672919793679569e-05,0.00010214567658572837,8.120049570725672e-05,0.00022223868916940447,0.6193656093489148,9.995607489257533e-05,8.783040740079292e-05,0.6844741235392321,9.685151379318173e-05,0.00010957025894094933,0.6494156928213689
0.0001,10,5,0.019211518417617462,4.177170082220183e-05,4.42603572809011e-05,9.868080003485439e-05,0.00026341374779501563,0.6494156928213689,7.415848725728841e-05,0.00010838625701265549,0.674457429048414,7.251356081411912e-05,0.000101057480374593,0.7011686143572621
0.0001,10,22,0.01931238892080578,3.826371144444174e-05,4.048951059876447e-05,8.358739818301778e-05,0.00022273710981192402,0.669449081803005,7.747690033938341e-05,9.245230493952841e-05,0.672787979966611,7.203437356504226e-05,8.032705618390576e-05,0.7045075125208681
0.0001,10,10,0.014656853281240067,3.681530154925339e-05,3.8887682865271336e-05,4.477199312340256e-05,0.00011821671119814938,0.6844741235392321,4.337838596960565e-05,5.949513278844773e-05,0.6811352253756261,3.851735499094828e-05,4.582845668580447e-05,0.7278797996661102
0.0001,10,8,0.01730531805146379,3.179783894019517e-05,3.357502686869106e-05,4.9940000643261025e-05,0.00012227636223831385,0.6844741235392321,5.970364280311869e-05,7.074607627181604e-05,0.676126878130217,5.7539338545909045e-05,7.237819008029382e-05,0.7145242070116862
0.0001,10,16,0.023248630922683207,3.948664798048007e-05,4.160888486346096e-05,5.344428052027101e-05,0.00017262279045426356,0.5559265442404007,0.00010283082253329923,0.00014635898200627585,0.67779632721202,9.924560398810476e-05,0.00012164476687543269,0.6894824707846411
0.0001,10,23,0.015091155655203747,3.709180609762219e-05,3.9257502520718424e-05,8.59319427284372e-05,0.0003728106025313496,0.6811352253756261,4.395685415737809e-05,4.952531700771248e-05,0.672787979966611,4.20403270119444e-05,5.041399150804071e-05,0.7161936560934892
0.0001,10,13,0.016325341853773438,2.6470171218595517e-05,2.796268599566523e-05,4.3074151537324316e-05,0.0001157301049722684,0.6393989983305509,5.2100960541836926e-05,5.627658042331858e-05,0.666110183639399,5.0661349251986e-05,6.830516878988951e-05,0.7278797996661102
