p,J,R,ABC-MCMC_coverage,ABC-MCMC_coverage_mcse,GPS-ABC_coverage,GPS-ABC_coverage_mcse,DNN-ABC_coverage,DNN-ABC_coverage_mcse,NPE_coverage,NPE_coverage_mcse
0.0001,10,40,0.775,0.06602556323122129,0.825,0.06007807420348958,0.85,0.05645794895318108,0.9,0.04743416490252569
0.0001,50,40,0.9,0.04743416490252569,0.875,0.05229125165837972,0.9,0.04743416490252569,0.925,0.041645828122394195
0.0001,100,40,0.925,0.041645828122394195,0.95,0.03446012188022557,0.95,0.03446012188022557,0.975,0.024685522072664386
0.001,10,40,0.8,0.06324555320336758,0.875,0.05229125165837972,0.875,0.05229125165837972,0.95,0.03446012188022557
0.001,50,40,0.975,0.024685522072664386,0.975,0.024685522072664386,0.925,0.041645828122394195,0.925,0.041645828122394195
0.001,100,40,0.95,0.03446012188022557,0.975,0.024685522072664386,0.925,0.041645828122394195,0.975,0.024685522072664386
0.01,10,40,0.85,0.05645794895318108,0.875,0.05229125165837972,0.875,0.05229125165837972,0.95,0.03446012188022557
0.01,50,40,1.0,0.0,1.0,0.0,0.925,0.041645828122394195,0.925,0.041645828122394195
0.01,100,40,0.95,0.03446012188022557,1.0,0.0,0.925,0.041645828122394195,1.0,0.0
