p,J,MOM,MOM_nrmse,MLE,MLE_nrmse,ABC-MCMC,ABC-MCMC_nrmse,GPS-ABC,GPS-ABC_nrmse,DNN-ABC,DNN-ABC_nrmse,NPE,NPE_nrmse
0.0001,10,9.35886046608018e-09,0.9674120355918764,1.0240221750737947e-08,1.0119398080290125,5.954056151323924e-09,0.7716253074727347,7.012817290550784e-09,0.8374256558376263,5.247344797220116e-09,0.7243855877376437,1.542148483072879e-08,1.2418327113878418
0.0001,50,8.680106716708805e-09,0.9316709030934048,9.58722579808496e-09,0.9791437993515029,1.908494992775616e-09,0.4368632500881272,1.983697617214388e-09,0.4453872042632554,1.7736345400776069e-09,0.4211454072025013,2.0675201288284975e-09,0.45469991519995884
0.0001,100,4.17599540386797e-09,0.6462194212392544,4.636327646429399e-09,0.6809058412460125,7.75424011705423e-10,0.2784643624784728,7.947065590905443e-10,0.28190540241196943,7.678796498358118e-10,0.2771064145478794,1.355582071352069e-09,0.3681823014964284
0.001,10,1.3772468432264425e-06,1.173561606063543,1.59511546205992e-06,1.262978805071534,4.109276311740164e-07,0.6410363727387209,6.457070469079552e-07,0.8035589878210281,4.578934115853126e-07,0.6766782186425927,7.878081633377197e-07,0.8875855808527534
0.001,50,3.2111228729645293e-07,0.566667704476312,3.8452088310560153e-07,0.6200974787125018,1.1123950733327708e-07,0.3335258720598405,1.1054443386680407e-07,0.33248223090385454,1.3284349785189692e-07,0.36447701964856016,1.3900591864244944e-07,0.3728349750793901
0.001,100,2.706944057167824e-07,0.5202830054083858,3.2877857069288816e-07,0.57339216134587,4.289455867417835e-08,0.20711001587122327,4.4767561211491855e-08,0.21158346157365857,4.422084423683152e-08,0.21028752753511445,4.5935506772174687e-08,0.214325702546789
0.01,10,3.420684122713754e-05,0.5848661490216163,4.40214849749147e-05,0.6634868873980457,1.6686366921559223e-05,0.408489497068887,1.7732466842380128e-05,0.42109935695011613,2.301466889523569e-05,0.4797360617593355,1.896659384582747e-05,0.43550653090197705
0.01,50,7.710924946018976e-06,0.2776855225973975,1.1736540705302635e-05,0.34258634977626645,7.013704280941276e-06,0.26483399103856126,5.46064505717071e-06,0.23368023145252811,9.930137353982285e-06,0.315121204522677,9.805753378815037e-06,0.31314139583924444
0.01,100,4.011325676904328e-06,0.20028294178247755,6.079892554088633e-06,0.24657438135557863,3.0493241405207043e-06,0.17462314109306087,3.1439651833572805e-06,0.17731230028842557,3.366942052617838e-06,0.18349229010009763,4.950792505125526e-06,0.2225037641282845
