p,J,ABC-MCMC,GPS-ABC,DNN-ABC,NPE
0.0001,10,0.00026195361046630727,0.0003105901223880409,0.0002446082553245025,0.0004267846863856479
0.0001,50,0.00015581066453999875,0.0001502073729805631,0.0001440288280764916,0.00016100050988939065
0.0001,100,0.00012120739579555813,0.00011612910245452322,0.00011595574956289104,0.00014824253535493872
0.001,10,0.0027991073214318,0.00331972613652382,0.002452999084084645,0.0033613195892235105
0.001,50,0.001432338241835345,0.0016634462952974597,0.00128759661769571,0.0014076989089971896
0.001,100,0.0009704939830479798,0.0012016144661908625,0.0008805488733768698,0.001080185406663076
0.01,10,0.018260109572469645,0.019601516556440112,0.01889244666172178,0.02029880529902583
0.01,50,0.011584442267739845,0.017424077986083128,0.010351133893454758,0.011692681628919666
0.01,100,0.007727246026740413,0.012474027388587435,0.006802228636562345,0.009191291293536772
