p,J,train_seconds,sample_seconds
0.0001,10,2.864409923553467,0.009634971618652344
0.0001,50,2.669808864593506,0.0035881996154785156
0.0001,100,0.5512709617614746,0.001081705093383789
0.001,10,2.864409923553467,0.0009050369262695312
0.001,50,2.669808864593506,0.0013759136199951172
0.001,100,0.5512709617614746,0.001024007797241211
0.01,10,2.864409923553467,0.001065969467163086
0.01,50,2.669808864593506,0.0008749961853027344
0.01,100,0.5512709617614746,0.0008671283721923828
